          distance              timeN                 Tn               Mass          Mass_cons         Moment_kin         Moment_the         Moment_mag         Moment_vis             Moment           Mom_cons         Energy_kin         Energy_the         Energy_int         Energy_mag         Energy_vis             Energy         Energ_gain         Energ_cons          Energ_pho          magn_corr 
  8.800115522E-041   5.577300382E-055   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.109757725E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.054878863E-056   1.483166598E+000   3.164649247E-062   2.133711243E-062   1.094195658E-003   0.000000000E+000 
  1.760023104E-040   1.115460076E-054   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.109749286E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.054874643E-056   1.483166598E+000   9.493947740E-062   6.401133730E-062   1.094195658E-003   0.000000000E+000 
  1.056013863E-039   6.692760459E-054   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.109664894E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.054832447E-056   1.483166598E+000   7.278693268E-061   4.907535860E-061   1.094195658E-003   0.000000000E+000 
  9.856129385E-039   6.246576428E-053   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.108820931E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.054410466E-056   1.483166598E+000   7.057167820E-060   4.758176073E-060   1.094195658E-003   0.000000000E+000 
  3.467132728E-038   2.197384868E-052   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.106441073E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.053220536E-056   1.483166598E+000   2.490497837E-059   1.679176054E-059   1.094195658E-003   0.000000000E+000 
  8.575869513E-038   5.435178685E-052   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.101541715E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.050770857E-056   1.483166598E+000   6.164849606E-059   4.156545605E-059   1.094195658E-003   0.000000000E+000 
  1.790352093E-037   1.134681856E-051   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.092596448E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.046298224E-056   1.483166598E+000   1.287356722E-058   8.679785020E-059   1.094195658E-003   0.000000000E+000 
  3.353041999E-037   2.125076924E-051   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.077610092E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.038805046E-056   1.483166598E+000   2.411288658E-058   1.625770605E-058   1.094195658E-003   0.000000000E+000 
  4.915731906E-037   3.115471993E-051   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.062623789E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.031311894E-056   1.483166598E+000   3.535220594E-058   2.383562708E-058   1.094195658E-003   0.000000000E+000 
  6.478421813E-037   4.105867061E-051   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   1.591549431E-009   2.047637498E-063   5.881638807E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   1.591549431E-002   1.023818749E-056   1.483166598E+000   4.659152529E-058   3.141354811E-058   1.094195658E-003   0.000000000E+000 
