          distance              timeN                 Tn          C(3P-J=0)          C(3P-J=1)          C(3P-J=2)          C(1D-J=2)          C(1S-J=0)        N(4S-J=3/2)        N(2D-J=5/2)        N(2D-J=3/2)        N(2P-J=1/2)        N(2P-J=3/2)          O(3P-J=2)          O(3P-J=1)          O(3P-J=0)          O(1D-J=2)          O(1S-J=0)          S(3P-J=2)          S(3P-J=1)          S(3P-J=0)          S(1D-J=2)          S(1S-J=0)         Si(3P-J=0)         Si(3P-J=1)         Si(3P-J=2)         Si(1D-J=2)         Si(1S-J=0)       C+(2P-J=1/2)       C+(2P-J=3/2)       C+(4P-J=1/2)       C+(4P-J=3/2)       C+(4P-J=5/2)         N+(3P-J=0)         N+(3P-J=1)         N+(3P-J=2)         N+(1D-J=2)         N+(1S-J=0)       O+(4S-J=3/2)       O+(2D-J=5/2)       O+(2D-J=3/2)       O+(2P-J=3/2)       O+(2P-J=1/2)       S+(4S-J=3/2)       S+(2D-J=3/2)       S+(2D-J=5/2)       S+(2P-J=1/2)       S+(2P-J=3/2)      Si+(2P-J=1/2)      Si+(2P-J=3/2)      Si+(4P-J=1/2)      Si+(4P-J=3/2)      Si+(4P-J=5/2) 
  6.159280582E-002   5.576575811E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  6.785532127E-002   6.143580215E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  7.411783673E-002   6.710584620E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  8.403280983E-002   7.608280356E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  9.394778293E-002   8.505976092E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.038627560E-001   9.403671828E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.137777291E-001   1.030136756E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.236927022E-001   1.119906330E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.336076753E-001   1.209675904E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.435226484E-001   1.299445477E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.599119998E-001   1.447833684E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.763013511E-001   1.596221891E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.926907024E-001   1.744610098E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.090800537E-001   1.892998305E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.254694051E-001   2.041386512E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.418587564E-001   2.189774719E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.582481077E-001   2.338162926E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.840264599E-001   2.571558585E-015   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
